,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,class
0,0.0,0.66,0.46,0.8399999999999999,1.0,1.0,0.8299999999999998,0.8,0.71,0.6,0.62,0.4,0.54,0.2,0.62,0.0,1.0
1,0.0,0.79,0.26,1.0,0.55,0.76,0.37,0.31,0.16,0.0,0.11,0.4,0.55,0.52,1.0,0.62,0.0
2,0.0,0.87,0.26,1.0,0.95,0.8199999999999998,0.88,0.41,0.63,0.0,0.27,0.11,0.15,0.4,1.0,0.43,0.0
3,0.26,0.88,0.55,1.0,0.86,0.69,0.78,0.31,0.67,0.0,1.0,0.33,0.66,0.45,0.0,0.45,0.0
4,0.23,0.71,0.61,1.0,0.7,0.92,0.52,0.46,0.41,0.0,0.0,0.08,0.5,0.11,1.0,0.14,1.0
5,0.0,0.9,0.38,1.0,0.87,0.93,0.9,0.56,0.77,0.16,0.64,0.0,0.5,0.29,1.0,0.28,0.0
6,0.0,1.0,0.36,0.9,1.0,0.8499999999999999,0.66,0.61,0.35,0.19,0.33,0.0,0.63,0.34,0.25,0.28,0.0
7,0.22,0.67,0.56,0.87,1.0,1.0,0.72,0.8,0.44,0.6,0.17,0.4,0.0,0.19,0.22,0.0,1.0
8,0.0,0.44,0.29,0.62,0.66,0.8,1.0,1.0,0.79,0.78,0.59,0.52,0.4,0.26,0.25,0.0,1.0
9,0.1,0.95,0.64,1.0,0.8199999999999998,0.67,0.7,0.3,0.73,0.0,1.0,0.33,0.52,0.38,0.0,0.42,0.0
10,0.0,0.9900000000000002,0.63,1.0,0.76,0.68,0.6,0.34,0.46,0.0,0.19,0.16,0.27,0.34,1.0,0.32,0.0
11,0.31,0.9,0.63,1.0,1.0,0.76,0.75,0.36,0.56,0.0,0.96,0.34,0.61,0.43,0.0,0.45,0.0
12,0.0,0.43,0.32,0.61,0.68,0.8199999999999998,1.0,1.0,0.8499999999999999,0.75,0.66,0.49,0.45,0.24,0.25,0.0,1.0
13,0.0,0.69,0.38,0.86,0.62,1.0,0.52,0.53,0.57,0.05,1.0,0.03,0.51,0.03,0.11,0.0,1.0
14,0.0,0.79,0.42,1.0,0.57,0.68,0.5,0.31,0.53,0.0,0.24,0.32,0.44,0.5,1.0,0.53,0.0
15,0.12,0.57,0.5,0.8399999999999999,0.8299999999999998,1.0,0.66,0.58,0.49,0.16,0.0,0.05,0.39,0.05,1.0,0.0,1.0
16,0.0,0.36,0.3,0.58,0.66,0.79,1.0,1.0,0.91,0.75,0.8299999999999998,0.5,0.8,0.25,0.72,0.0,1.0
17,0.0,0.96,0.45,0.98,1.0,1.0,0.97,0.8299999999999998,0.77,0.62,0.6,0.39,0.52,0.17,0.55,0.0,0.0
18,0.4,0.64,0.67,0.8199999999999998,1.0,1.0,0.81,0.8,0.6,0.6,0.38,0.4,0.15,0.2,0.0,0.0,1.0
19,1.0,1.0,1.0,0.92,0.8,0.76,0.65,0.61,0.5,0.45,0.4,0.3,0.15,0.15,0.0,0.0,1.0
20,0.0,0.96,0.27,1.0,0.73,0.9900000000000002,1.0,0.8299999999999998,0.8499999999999999,0.6,0.6,0.4,0.33,0.2,0.08,0.0,0.0
21,0.0,0.8499999999999999,0.31,1.0,0.59,0.73,0.55,0.36,0.46,0.0,0.27,0.26,0.47,0.4,1.0,0.39,0.0
22,0.0,0.42,0.34,0.57,0.64,0.79,0.95,1.0,1.0,0.8499999999999999,0.81,0.57,0.62,0.28,0.45,0.0,1.0
23,0.0,0.97,0.43,1.0,0.58,0.62,0.41,0.17,0.26,0.0,0.08,0.36,0.54,0.34,1.0,0.33,0.0
24,0.0,0.65,0.46,0.8,0.88,1.0,1.0,0.94,0.76,0.69,0.53,0.45,0.29,0.2,0.26,0.0,1.0
25,0.0,0.95,0.53,1.0,0.81,0.67,0.61,0.24,0.49,0.0,0.07,0.29,0.42,0.42,1.0,0.43,0.0
26,0.0,0.8499999999999999,0.43,1.0,0.92,0.79,1.0,0.45,0.8199999999999998,0.13,0.56,0.0,0.34,0.31,0.98,0.39,0.0
27,0.0,0.9,0.67,1.0,0.8499999999999999,0.68,0.65,0.34,0.4,0.0,0.04,0.16,0.14,0.4,1.0,0.44,0.0
28,0.23,0.72,0.77,0.94,0.77,1.0,0.64,0.63,0.48,0.26,0.0,0.0,0.05,0.06,1.0,0.08,1.0
29,0.0,0.7,0.5,0.8399999999999999,1.0,1.0,0.94,0.8199999999999998,0.81,0.56,0.65,0.29,0.5,0.03,0.54,0.0,1.0
30,0.15,0.72,0.73,1.0,0.77,0.98,0.73,0.6,0.69,0.22,0.29,0.0,0.0,0.05,1.0,0.03,1.0
31,0.0,0.92,0.53,1.0,0.78,0.7,0.61,0.34,0.39,0.0,0.06,0.29,0.43,0.39,1.0,0.3,0.0
32,0.0,0.43,0.46,0.66,0.73,0.9,0.79,1.0,0.81,0.74,0.8499999999999999,0.49,0.88,0.24,1.0,0.0,1.0
33,0.0,0.87,0.39,1.0,0.61,0.7,0.47,0.27,0.36,0.0,0.11,0.33,0.55,0.35,1.0,0.39,0.0
34,0.24,0.66,0.55,0.8399999999999999,1.0,1.0,0.79,0.8,0.52,0.6,0.29,0.4,0.12,0.2,0.0,0.0,1.0
35,0.0,0.56,0.23,0.63,0.61,0.81,1.0,1.0,0.88,0.77,0.69,0.52,0.53,0.26,0.44,0.0,1.0
36,0.0,1.0,0.51,0.9900000000000002,0.7,0.67,0.57,0.27,0.59,0.0,1.0,0.26,0.57,0.41,0.05,0.4,0.0
